Date	Total volume
1/15/2018	126
1/16/2018	115
1/17/2018	126
1/18/2018	143
1/19/2018	139
1/20/2018	178
1/21/2018	152
1/22/2018	104
1/23/2018	125
1/24/2018	132
1/25/2018	130
1/26/2018	144
1/27/2018	163
1/28/2018	126
1/29/2018	133
1/30/2018	122
1/31/2018	137
2/1/2018	128
2/2/2018	151
2/3/2018	186
2/4/2018	111
2/5/2018	122
2/6/2018	123
2/7/2018	123
2/8/2018	178
2/9/2018	144
2/10/2018	158
2/11/2018	121
2/12/2018	113
2/13/2018	144
2/14/2018	124
2/15/2018	125
2/16/2018	131
2/17/2018	155
2/18/2018	129
2/19/2018	139
2/20/2018	122
2/21/2018	127
2/22/2018	146
2/23/2018	151
2/24/2018	162
2/25/2018	127
2/26/2018	160
2/27/2018	186
2/28/2018	171
3/1/2018	143
3/2/2018	161
3/3/2018	191
3/4/2018	148
3/5/2018	168
3/6/2018	134
3/7/2018	135
3/8/2018	146
3/9/2018	155
3/10/2018	151
3/11/2018	103
3/12/2018	123
3/13/2018	126
3/14/2018	146
3/15/2018	139
3/16/2018	163
3/17/2018	134
3/18/2018	157
3/19/2018	156
3/20/2018	163
3/21/2018	131
3/22/2018	125
3/23/2018	179
3/24/2018	170
3/25/2018	137
3/26/2018	155
3/27/2018	125
3/28/2018	128
3/29/2018	145
3/30/2018	146
3/31/2018	176
4/1/2018	1
4/2/2018	146
4/3/2018	151
4/4/2018	160
4/5/2018	196
4/6/2018	185
4/7/2018	174
4/8/2018	173
4/9/2018	190
4/10/2018	185
4/11/2018	180
4/12/2018	199
4/13/2018	210
4/14/2018	190
4/15/2018	186
4/16/2018	173
4/17/2018	177
4/18/2018	193
4/19/2018	146
4/20/2018	183
4/21/2018	197
4/22/2018	182
4/23/2018	133
4/24/2018	167
4/25/2018	140
4/26/2018	148
4/27/2018	135
4/28/2018	179
4/29/2018	162
4/30/2018	175
5/1/2018	197
5/2/2018	153
5/3/2018	202
5/4/2018	155
5/5/2018	212
5/6/2018	167
5/7/2018	153
5/8/2018	154
5/9/2018	151
5/10/2018	148
5/11/2018	173
5/12/2018	179
5/13/2018	100
5/14/2018	138
5/15/2018	168
5/16/2018	165
5/17/2018	152
5/18/2018	171
5/19/2018	176
5/20/2018	143
5/21/2018	187
5/22/2018	157
5/23/2018	147
5/24/2018	144
5/25/2018	173
5/26/2018	158
5/27/2018	144
5/28/2018	172
5/29/2018	165
5/30/2018	122
5/31/2018	148
6/1/2018	184
6/2/2018	161
6/3/2018	144
6/4/2018	156
6/5/2018	169
6/6/2018	157
6/7/2018	144
6/8/2018	143
6/9/2018	162
6/10/2018	158
6/11/2018	144
6/12/2018	141
6/13/2018	177
6/14/2018	155
6/15/2018	159
6/16/2018	161
6/17/2018	140
6/18/2018	153
6/19/2018	150
6/20/2018	135
6/21/2018	172
6/22/2018	150
6/23/2018	132
6/24/2018	153
6/25/2018	163
6/26/2018	150
6/27/2018	145
6/28/2018	107
6/29/2018	153
6/30/2018	157
7/1/2018	154
7/2/2018	134
7/3/2018	176
7/4/2018	108
7/5/2018	127
7/6/2018	156
7/7/2018	145
7/8/2018	138
7/9/2018	126
7/10/2018	144
7/11/2018	186
7/12/2018	135
7/13/2018	173
7/14/2018	207
7/15/2018	120
7/16/2018	147
7/17/2018	127
