Date	Total volume	Day	Month	Quarter	Year	YearQTR
6/5/2017	122	Monday	6	Q2	2017	201702
6/6/2017	130	Tuesday	6	Q2	2017	201702
6/7/2017	105	Wednesday	6	Q2	2017	201702
6/8/2017	134	Thursday	6	Q2	2017	201702
6/9/2017	139	Friday	6	Q2	2017	201702
6/10/2017	144	Saturday	6	Q2	2017	201702
6/11/2017	101	Sunday	6	Q2	2017	201702
6/12/2017	151	Monday	6	Q2	2017	201702
6/13/2017	115	Tuesday	6	Q2	2017	201702
6/14/2017	120	Wednesday	6	Q2	2017	201702
6/15/2017	139	Thursday	6	Q2	2017	201702
6/16/2017	137	Friday	6	Q2	2017	201702
6/17/2017	134	Saturday	6	Q2	2017	201702
6/18/2017	141	Sunday	6	Q2	2017	201702
6/19/2017	126	Monday	6	Q2	2017	201702
6/20/2017	128	Tuesday	6	Q2	2017	201702
6/21/2017	119	Wednesday	6	Q2	2017	201702
6/22/2017	130	Thursday	6	Q2	2017	201702
6/23/2017	144	Friday	6	Q2	2017	201702
6/24/2017	148	Saturday	6	Q2	2017	201702
6/25/2017	117	Sunday	6	Q2	2017	201702
6/26/2017	128	Monday	6	Q2	2017	201702
6/27/2017	115	Tuesday	6	Q2	2017	201702
6/28/2017	120	Wednesday	6	Q2	2017	201702
6/29/2017	107	Thursday	6	Q2	2017	201702
6/30/2017	123	Friday	6	Q2	2017	201702
7/1/2017	154	Saturday	7	Q3	2017	201703
7/2/2017	107	Sunday	7	Q3	2017	201703
7/3/2017	105	Monday	7	Q3	2017	201703
7/4/2017	107	Tuesday	7	Q3	2017	201703
7/5/2017	127	Wednesday	7	Q3	2017	201703
7/6/2017	116	Thursday	7	Q3	2017	201703
7/7/2017	123	Friday	7	Q3	2017	201703
7/8/2017	122	Saturday	7	Q3	2017	201703
7/9/2017	121	Sunday	7	Q3	2017	201703
7/10/2017	142	Monday	7	Q3	2017	201703
7/11/2017	137	Tuesday	7	Q3	2017	201703
7/12/2017	118	Wednesday	7	Q3	2017	201703
7/13/2017	135	Thursday	7	Q3	2017	201703
7/14/2017	106	Friday	7	Q3	2017	201703
7/15/2017	136	Saturday	7	Q3	2017	201703
7/16/2017	112	Sunday	7	Q3	2017	201703
7/17/2017	105	Monday	7	Q3	2017	201703
7/18/2017	132	Tuesday	7	Q3	2017	201703
7/19/2017	133	Wednesday	7	Q3	2017	201703
7/20/2017	98	Thursday	7	Q3	2017	201703
7/21/2017	129	Friday	7	Q3	2017	201703
7/22/2017	132	Saturday	7	Q3	2017	201703
7/23/2017	108	Sunday	7	Q3	2017	201703
7/24/2017	128	Monday	7	Q3	2017	201703
7/25/2017	135	Tuesday	7	Q3	2017	201703
7/26/2017	116	Wednesday	7	Q3	2017	201703
7/27/2017	106	Thursday	7	Q3	2017	201703
7/28/2017	125	Friday	7	Q3	2017	201703
7/29/2017	134	Saturday	7	Q3	2017	201703
7/30/2017	114	Sunday	7	Q3	2017	201703
7/31/2017	113	Monday	7	Q3	2017	201703
8/1/2017	119	Tuesday	8	Q3	2017	201703
8/2/2017	126	Wednesday	8	Q3	2017	201703
8/3/2017	126	Thursday	8	Q3	2017	201703
8/4/2017	128	Friday	8	Q3	2017	201703
8/5/2017	147	Saturday	8	Q3	2017	201703
8/6/2017	137	Sunday	8	Q3	2017	201703
8/7/2017	96	Monday	8	Q3	2017	201703
8/8/2017	112	Tuesday	8	Q3	2017	201703
8/9/2017	127	Wednesday	8	Q3	2017	201703
8/10/2017	111	Thursday	8	Q3	2017	201703
8/11/2017	146	Friday	8	Q3	2017	201703
8/12/2017	162	Saturday	8	Q3	2017	201703
8/13/2017	120	Sunday	8	Q3	2017	201703
8/14/2017	114	Monday	8	Q3	2017	201703
8/15/2017	108	Tuesday	8	Q3	2017	201703
8/16/2017	128	Wednesday	8	Q3	2017	201703
8/17/2017	125	Thursday	8	Q3	2017	201703
8/18/2017	114	Friday	8	Q3	2017	201703
8/19/2017	107	Saturday	8	Q3	2017	201703
8/20/2017	114	Sunday	8	Q3	2017	201703
8/21/2017	89	Monday	8	Q3	2017	201703
8/22/2017	114	Tuesday	8	Q3	2017	201703
8/23/2017	131	Wednesday	8	Q3	2017	201703
8/24/2017	116	Thursday	8	Q3	2017	201703
8/25/2017	121	Friday	8	Q3	2017	201703
8/26/2017	142	Saturday	8	Q3	2017	201703
8/27/2017	105	Sunday	8	Q3	2017	201703
8/28/2017	139	Monday	8	Q3	2017	201703
8/29/2017	112	Tuesday	8	Q3	2017	201703
8/30/2017	115	Wednesday	8	Q3	2017	201703
8/31/2017	125	Thursday	8	Q3	2017	201703
9/1/2017	122	Friday	9	Q3	2017	201703
9/2/2017	133	Saturday	9	Q3	2017	201703
9/3/2017	112	Sunday	9	Q3	2017	201703
9/4/2017	113	Monday	9	Q3	2017	201703
9/5/2017	116	Tuesday	9	Q3	2017	201703
9/6/2017	109	Wednesday	9	Q3	2017	201703
9/7/2017	91	Thursday	9	Q3	2017	201703
9/8/2017	112	Friday	9	Q3	2017	201703
9/9/2017	114	Saturday	9	Q3	2017	201703
9/10/2017	105	Sunday	9	Q3	2017	201703
9/11/2017	93	Monday	9	Q3	2017	201703
9/12/2017	134	Tuesday	9	Q3	2017	201703
9/13/2017	97	Wednesday	9	Q3	2017	201703
9/14/2017	118	Thursday	9	Q3	2017	201703
9/15/2017	102	Friday	9	Q3	2017	201703
9/16/2017	141	Saturday	9	Q3	2017	201703
9/17/2017	84	Sunday	9	Q3	2017	201703
9/18/2017	93	Monday	9	Q3	2017	201703
9/19/2017	115	Tuesday	9	Q3	2017	201703
9/20/2017	82	Wednesday	9	Q3	2017	201703
9/21/2017	110	Thursday	9	Q3	2017	201703
9/22/2017	123	Friday	9	Q3	2017	201703
9/23/2017	114	Saturday	9	Q3	2017	201703
9/24/2017	108	Sunday	9	Q3	2017	201703
9/25/2017	85	Monday	9	Q3	2017	201703
9/26/2017	111	Tuesday	9	Q3	2017	201703
9/27/2017	108	Wednesday	9	Q3	2017	201703
9/28/2017	99	Thursday	9	Q3	2017	201703
9/29/2017	110	Friday	9	Q3	2017	201703
9/30/2017	151	Saturday	9	Q3	2017	201703
10/1/2017	112	Sunday	10	Q4	2017	201704
10/2/2017	135	Monday	10	Q4	2017	201704
10/3/2017	111	Tuesday	10	Q4	2017	201704
10/4/2017	104	Wednesday	10	Q4	2017	201704
10/5/2017	125	Thursday	10	Q4	2017	201704
10/6/2017	114	Friday	10	Q4	2017	201704
10/7/2017	119	Saturday	10	Q4	2017	201704
10/8/2017	134	Sunday	10	Q4	2017	201704
10/9/2017	115	Monday	10	Q4	2017	201704
10/10/2017	98	Tuesday	10	Q4	2017	201704
10/11/2017	105	Wednesday	10	Q4	2017	201704
10/12/2017	128	Thursday	10	Q4	2017	201704
10/13/2017	103	Friday	10	Q4	2017	201704
10/14/2017	108	Saturday	10	Q4	2017	201704
10/15/2017	105	Sunday	10	Q4	2017	201704
10/16/2017	98	Monday	10	Q4	2017	201704
10/17/2017	109	Tuesday	10	Q4	2017	201704
10/18/2017	115	Wednesday	10	Q4	2017	201704
10/19/2017	103	Thursday	10	Q4	2017	201704
10/20/2017	117	Friday	10	Q4	2017	201704
10/21/2017	133	Saturday	10	Q4	2017	201704
10/22/2017	112	Sunday	10	Q4	2017	201704
10/23/2017	110	Monday	10	Q4	2017	201704
10/24/2017	127	Tuesday	10	Q4	2017	201704
10/25/2017	114	Wednesday	10	Q4	2017	201704
10/26/2017	109	Thursday	10	Q4	2017	201704
10/27/2017	135	Friday	10	Q4	2017	201704
10/28/2017	138	Saturday	10	Q4	2017	201704
10/29/2017	116	Sunday	10	Q4	2017	201704
10/30/2017	140	Monday	10	Q4	2017	201704
10/31/2017	113	Tuesday	10	Q4	2017	201704
11/1/2017	93	Wednesday	11	Q4	2017	201704
11/2/2017	136	Thursday	11	Q4	2017	201704
11/3/2017	120	Friday	11	Q4	2017	201704
11/4/2017	123	Saturday	11	Q4	2017	201704
11/5/2017	102	Sunday	11	Q4	2017	201704
11/6/2017	113	Monday	11	Q4	2017	201704
11/7/2017	115	Tuesday	11	Q4	2017	201704
11/8/2017	112	Wednesday	11	Q4	2017	201704
11/9/2017	116	Thursday	11	Q4	2017	201704
11/10/2017	149	Friday	11	Q4	2017	201704
11/11/2017	124	Saturday	11	Q4	2017	201704
11/12/2017	88	Sunday	11	Q4	2017	201704
11/13/2017	127	Monday	11	Q4	2017	201704
11/14/2017	121	Tuesday	11	Q4	2017	201704
11/15/2017	118	Wednesday	11	Q4	2017	201704
11/16/2017	134	Thursday	11	Q4	2017	201704
11/17/2017	135	Friday	11	Q4	2017	201704
11/18/2017	169	Saturday	11	Q4	2017	201704
11/19/2017	127	Sunday	11	Q4	2017	201704
11/20/2017	119	Monday	11	Q4	2017	201704
11/21/2017	155	Tuesday	11	Q4	2017	201704
11/22/2017	132	Wednesday	11	Q4	2017	201704
11/23/2017	15	Thursday	11	Q4	2017	201704
11/24/2017	109	Friday	11	Q4	2017	201704
11/25/2017	151	Saturday	11	Q4	2017	201704
11/26/2017	136	Sunday	11	Q4	2017	201704
11/27/2017	142	Monday	11	Q4	2017	201704
11/28/2017	131	Tuesday	11	Q4	2017	201704
11/29/2017	133	Wednesday	11	Q4	2017	201704
11/30/2017	139	Thursday	11	Q4	2017	201704
12/1/2017	140	Friday	12	Q4	2017	201704
12/2/2017	178	Saturday	12	Q4	2017	201704
12/3/2017	139	Sunday	12	Q4	2017	201704
12/4/2017	123	Monday	12	Q4	2017	201704
12/5/2017	148	Tuesday	12	Q4	2017	201704
12/6/2017	136	Wednesday	12	Q4	2017	201704
12/7/2017	135	Thursday	12	Q4	2017	201704
12/8/2017	135	Friday	12	Q4	2017	201704
12/9/2017	145	Saturday	12	Q4	2017	201704
12/10/2017	117	Sunday	12	Q4	2017	201704
12/11/2017	123	Monday	12	Q4	2017	201704
12/12/2017	143	Tuesday	12	Q4	2017	201704
12/13/2017	132	Wednesday	12	Q4	2017	201704
12/14/2017	109	Thursday	12	Q4	2017	201704
12/15/2017	155	Friday	12	Q4	2017	201704
12/16/2017	144	Saturday	12	Q4	2017	201704
12/17/2017	112	Sunday	12	Q4	2017	201704
12/18/2017	122	Monday	12	Q4	2017	201704
12/19/2017	140	Tuesday	12	Q4	2017	201704
12/20/2017	146	Wednesday	12	Q4	2017	201704
12/21/2017	176	Thursday	12	Q4	2017	201704
12/22/2017	120	Friday	12	Q4	2017	201704
12/23/2017	146	Saturday	12	Q4	2017	201704
12/24/2017	105	Sunday	12	Q4	2017	201704
12/25/2017	0	Monday	12	Q4	2017	201704
12/26/2017	141	Tuesday	12	Q4	2017	201704
12/27/2017	149	Wednesday	12	Q4	2017	201704
12/28/2017	158	Thursday	12	Q4	2017	201704
12/29/2017	152	Friday	12	Q4	2017	201704
12/30/2017	141	Saturday	12	Q4	2017	201704
12/31/2017	119	Sunday	12	Q4	2017	201704
1/1/2018	99	Monday	1	Q1	2018	201801
1/2/2018	144	Tuesday	1	Q1	2018	201801
1/3/2018	150	Wednesday	1	Q1	2018	201801
1/4/2018	127	Thursday	1	Q1	2018	201801
1/5/2018	152	Friday	1	Q1	2018	201801
1/6/2018	162	Saturday	1	Q1	2018	201801
1/7/2018	139	Sunday	1	Q1	2018	201801
1/8/2018	141	Monday	1	Q1	2018	201801
1/9/2018	143	Tuesday	1	Q1	2018	201801
1/10/2018	145	Wednesday	1	Q1	2018	201801
1/11/2018	132	Thursday	1	Q1	2018	201801
1/12/2018	136	Friday	1	Q1	2018	201801
1/13/2018	167	Saturday	1	Q1	2018	201801
1/14/2018	148	Sunday	1	Q1	2018	201801
1/15/2018	126	Monday	1	Q1	2018	201801
1/16/2018	115	Tuesday	1	Q1	2018	201801
1/17/2018	126	Wednesday	1	Q1	2018	201801
1/18/2018	143	Thursday	1	Q1	2018	201801
1/19/2018	139	Friday	1	Q1	2018	201801
1/20/2018	178	Saturday	1	Q1	2018	201801
1/21/2018	152	Sunday	1	Q1	2018	201801
1/22/2018	104	Monday	1	Q1	2018	201801
1/23/2018	125	Tuesday	1	Q1	2018	201801
1/24/2018	132	Wednesday	1	Q1	2018	201801
1/25/2018	130	Thursday	1	Q1	2018	201801
1/26/2018	144	Friday	1	Q1	2018	201801
1/27/2018	163	Saturday	1	Q1	2018	201801
1/28/2018	126	Sunday	1	Q1	2018	201801
1/29/2018	133	Monday	1	Q1	2018	201801
1/30/2018	122	Tuesday	1	Q1	2018	201801
1/31/2018	137	Wednesday	1	Q1	2018	201801
2/1/2018	128	Thursday	2	Q1	2018	201801
2/2/2018	151	Friday	2	Q1	2018	201801
2/3/2018	186	Saturday	2	Q1	2018	201801
2/4/2018	111	Sunday	2	Q1	2018	201801
2/5/2018	122	Monday	2	Q1	2018	201801
2/6/2018	123	Tuesday	2	Q1	2018	201801
2/7/2018	123	Wednesday	2	Q1	2018	201801
2/8/2018	178	Thursday	2	Q1	2018	201801
2/9/2018	144	Friday	2	Q1	2018	201801
2/10/2018	158	Saturday	2	Q1	2018	201801
2/11/2018	121	Sunday	2	Q1	2018	201801
2/12/2018	113	Monday	2	Q1	2018	201801
2/13/2018	144	Tuesday	2	Q1	2018	201801
2/14/2018	124	Wednesday	2	Q1	2018	201801
2/15/2018	125	Thursday	2	Q1	2018	201801
2/16/2018	131	Friday	2	Q1	2018	201801
2/17/2018	155	Saturday	2	Q1	2018	201801
2/18/2018	129	Sunday	2	Q1	2018	201801
2/19/2018	139	Monday	2	Q1	2018	201801
2/20/2018	122	Tuesday	2	Q1	2018	201801
2/21/2018	127	Wednesday	2	Q1	2018	201801
2/22/2018	146	Thursday	2	Q1	2018	201801
2/23/2018	151	Friday	2	Q1	2018	201801
2/24/2018	162	Saturday	2	Q1	2018	201801
2/25/2018	127	Sunday	2	Q1	2018	201801
2/26/2018	160	Monday	2	Q1	2018	201801
2/27/2018	186	Tuesday	2	Q1	2018	201801
2/28/2018	171	Wednesday	2	Q1	2018	201801
3/1/2018	143	Thursday	3	Q1	2018	201801
